id,count
0,26.0
1,431.0
2,38.0
4,18.0
5,1.0
10,107.0
11,431.0
12,249.0
15,13.0
17,37.0
18,431.0
23,182.0
25,208.0
26,30.0
31,150.0
39,97.0
40,30.0
41,1.0
42,218.0
43,122.0
51,258.0
52,103.0
54,17.0
60,115.0
61,118.0
62,115.0
63,30.0
65,107.0
66,92.0
68,97.0
71,30.0
80,30.0
82,74.0
94,130.0
98,278.0
101,15.0
102,119.0
107,93.0
112,304.0
113,106.0
115,41.0
116,107.0
120,267.0
121,37.0
122,369.0
132,221.0
143,103.0
147,78.0
150,46.0
151,62.0
152,369.0
153,94.0
155,55.0
156,93.0
159,153.0
161,189.0
163,50.0
177,142.0
186,14.0
188,16.0
190,108.0
191,99.0
192,290.0
195,331.0
200,138.0
209,319.0
210,9.0
211,304.0
214,138.0
215,30.0
218,90.0
219,42.0
222,37.0
225,14.0
228,317.0
236,300.0
241,37.0
242,109.0
243,182.0
245,13.0
247,222.0
251,97.0
252,37.0
253,46.0
254,74.0
258,278.0
260,78.0
261,118.0
265,137.0
266,252.0
267,319.0
269,153.0
270,63.0
275,92.0
278,42.0
279,46.0
286,129.0
287,15.0
288,191.0
289,194.0
293,17.0
294,140.0
297,6.0
302,61.0
303,15.0
304,1.0
307,114.0
309,13.0
311,304.0
312,134.0
314,380.0
315,284.0
319,195.0
322,182.0
323,77.0
325,97.0
327,131.0
330,20.0
332,317.0
333,17.0
338,114.0
341,222.0
345,1.0
348,102.0
349,78.0
350,129.0
352,41.0
355,8.0
356,226.0
358,46.0
363,121.0
369,126.0
371,46.0
372,126.0
375,402.0
380,227.0
388,40.0
391,126.0
392,138.0
393,380.0
394,51.0
396,27.0
401,37.0
407,40.0
409,137.0
410,92.0
416,102.0
418,107.0
420,142.0
421,227.0
422,97.0
424,317.0
428,187.0
429,304.0
431,102.0
435,3.0
439,118.0
441,3.0
447,80.0
449,97.0
451,304.0
452,17.0
454,139.0
458,304.0
463,118.0
467,13.0
470,52.0
471,112.0
474,244.0
478,14.0
483,87.0
484,97.0
485,98.0
486,141.0
491,95.0
494,95.0
495,159.0
497,221.0
499,304.0
515,19.0
518,244.0
521,267.0
525,130.0
529,92.0
532,112.0
534,46.0
540,80.0
544,214.0
547,375.0
549,63.0
563,46.0
564,304.0
567,92.0
572,113.0
577,113.0
578,317.0
585,126.0
588,304.0
589,113.0
590,115.0
592,13.0
594,52.0
596,16.0
598,97.0
599,127.0
605,37.0
606,124.0
607,205.0
608,232.0
609,52.0
610,278.0
611,138.0
614,110.0
615,339.0
616,142.0
617,118.0
618,305.0
624,115.0
629,227.0
631,94.0
633,46.0
637,27.0
638,90.0
643,67.0
644,138.0
645,20.0
646,113.0
648,137.0
650,49.0
651,212.0
652,239.0
656,124.0
657,18.0
659,26.0
660,305.0
662,92.0
665,173.0
675,176.0
681,131.0
682,207.0
685,24.0
686,246.0
689,20.0
696,122.0
703,138.0
704,92.0
705,138.0
714,232.0
717,76.0
718,20.0
720,98.0
721,380.0
723,122.0
726,92.0
728,126.0
730,95.0
731,34.0
734,271.0
737,20.0
738,19.0
745,304.0
746,20.0
749,147.0
752,20.0
753,46.0
758,219.0
765,20.0
766,176.0
768,94.0
769,122.0
774,119.0
775,101.0
781,46.0
784,331.0
794,34.0
795,278.0
796,94.0
802,38.0
803,129.0
805,20.0
806,244.0
807,90.0
809,9.0
810,136.0
812,212.0
814,92.0
818,197.0
819,304.0
825,8.0
836,37.0
839,115.0
847,278.0
848,103.0
851,126.0
852,122.0
853,37.0
857,122.0
858,52.0
859,207.0
861,8.0
