id,count
0,93.59
1,201.55
2,96.91
4,32.35
5,115.39
10,121.93
11,198.53
12,343.07
15,34.41
17,127.22
18,294.63
23,257.1
25,99.17
26,45.19
31,193.07
39,150.47
40,26.85
41,190.64
42,374.52
43,152.22
51,222.1
52,86.99
54,17.61
60,141.24
61,128.78
62,115.23
63,26.83
65,118.87
66,107.0
68,168.47
71,73.71
80,31.01
82,68.19
94,132.58
98,274.79
101,32.91
102,129.01
107,189.09
112,198.29
113,64.74
115,53.35
116,123.17
120,144.83
121,87.81
122,335.52
132,207.0
143,80.93
147,63.8
150,19.58
151,84.51
152,225.42
153,94.53
155,141.39
156,139.72
159,194.37
161,128.58
163,46.73
177,172.69
186,14.23
188,18.92
190,87.39
191,88.44
192,264.86
195,311.83
200,152.84
209,316.78
210,16.94
211,203.29
214,129.19
215,26.76
218,100.59
219,40.22
222,103.88
225,15.84
228,324.51
236,219.09
241,36.6
242,195.73
243,234.73
245,18.44
247,240.48
251,134.29
252,83.37
253,83.33
254,95.14
258,325.62
260,52.87
261,153.74
265,108.05
266,273.19
267,296.12
269,153.61
270,67.71
275,99.18
278,39.53
279,81.34
286,97.35
287,28.73
288,214.27
289,143.8
293,17.32
294,160.41
297,54.64
302,115.68
303,57.31
304,103.11
307,97.32
309,17.25
311,157.46
312,125.41
314,179.53
315,225.75
319,170.8
322,116.55
323,64.46
325,124.89
327,233.1
330,40.31
332,201.01
333,17.02
338,97.71
341,106.12
345,194.54
348,124.12
349,46.86
350,119.81
352,49.92
355,14.68
356,203.73
358,51.33
363,134.85
369,147.41
371,20.05
372,137.39
375,292.11
380,125.24
388,46.56
391,147.9
392,259.62
393,380.98
394,193.37
396,28.37
401,38.23
407,108.4
409,90.84
410,117.04
416,106.7
418,122.29
420,146.58
421,188.18
422,130.25
424,296.99
428,342.88
429,218.97
431,173.99
435,12.02
439,116.19
441,13.69
447,81.61
449,154.27
451,157.06
452,15.91
454,215.62
458,202.12
463,123.53
467,15.38
470,246.58
471,154.23
474,288.61
478,16.03
483,121.39
484,146.47
485,84.05
486,131.13
491,96.9
494,99.02
495,232.57
497,200.44
499,174.98
515,109.8
518,212.06
521,171.32
525,133.4
529,246.93
532,144.73
534,110.18
540,117.24
544,301.13
547,156.23
549,45.72
563,39.15
564,135.0
567,122.33
572,109.09
577,127.11
578,260.02
585,351.85
588,151.54
589,127.57
590,107.23
592,17.46
594,233.42
596,14.93
598,349.02
599,151.46
605,36.2
606,134.81
607,246.96
608,228.75
609,64.25
610,287.16
611,169.43
614,132.7
615,204.78
616,244.2
617,129.29
618,247.25
624,119.02
629,133.01
631,92.0
633,89.69
637,23.8
638,102.43
643,71.02
644,136.85
645,37.85
646,217.27
648,184.34
650,39.58
651,200.68
652,259.5
656,114.62
657,18.83
659,70.1
660,205.39
662,98.75
665,383.27
675,326.53
681,155.13
682,211.93
685,19.31
686,213.44
689,24.19
696,137.71
703,142.93
704,97.42
705,130.76
714,238.28
717,99.48
718,14.26
720,84.37
721,226.01
723,239.32
726,173.44
728,136.5
730,203.67
731,26.7
734,341.53
737,76.36
738,16.97
745,168.36
746,27.02
749,232.14
752,25.95
753,153.81
758,241.54
765,17.44
766,221.24
768,86.65
769,188.03
774,136.07
775,106.18
781,51.94
784,330.2
794,18.33
795,268.12
796,84.67
802,167.28
803,213.28
805,38.46
806,282.23
807,99.02
809,16.93
810,175.25
812,208.55
814,117.09
818,251.16
819,118.49
825,73.38
836,104.02
839,117.38
847,254.16
848,156.48
851,111.05
852,138.61
853,32.74
857,139.16
858,44.98
859,220.63
861,34.36
867,103.27
870,215.62
871,202.92
872,210.92
874,365.2
881,203.09
886,134.53
890,54.14
895,171.02
899,87.52
900,269.3
901,249.97
902,247.43
903,41.85
913,258.94
918,201.79
923,124.7
924,42.2
926,27.23
927,18.35
930,210.08
934,36.7
937,129.61
939,131.92
941,87.38
942,375.72
946,277.99
950,98.57
953,88.83
959,95.03
961,27.6
962,99.31
964,136.88
969,190.6
971,158.1
976,42.2
978,260.25
980,232.46
981,177.63
990,369.0
993,18.95
996,19.22
998,329.93
999,172.16
1006,122.52
1008,15.74
1013,31.21
1015,97.71
1016,124.09
1022,304.91
1026,213.95
1028,240.48
1031,52.3
1034,46.6
1037,221.65
1040,63.46
1042,18.61
1046,18.25
1048,99.44
1049,110.72
1050,66.81
1051,198.6
1052,231.07
1055,164.96
1060,154.21
1064,27.75
1066,67.8
1071,96.25
1073,13.49
1089,161.38
1091,92.56
1092,67.9
1093,235.25
1096,318.96
1097,225.07
1098,16.67
1099,43.12
1102,164.71
1107,100.97
1109,42.03
1111,143.77
1112,114.88
1114,314.61
1116,292.22
1117,112.75
1118,70.76
1122,139.58
1124,162.22
1127,117.21
1133,209.38
1134,42.36
1135,137.32
1139,296.51
1143,57.5
1150,116.63
1151,112.42
1153,272.33
1155,28.32
1162,27.16
1163,216.92
1166,22.51
1171,89.62
1172,16.09
1173,252.34
1174,73.13
1177,120.0
1178,168.17
1184,172.83
1185,112.58
1186,112.47
1187,164.85
1188,281.22
1191,137.15
1207,124.24
1213,46.57
1215,127.15
1223,188.12
1227,119.83
1236,54.95
1237,46.24
1238,17.78
1241,30.09
1248,14.85
1250,34.7
1251,164.87
1253,113.72
1255,99.78
1257,186.58
1261,118.95
1262,373.09
1265,130.77
1273,184.98
1277,252.46
1278,101.28
1280,111.63
1284,208.79
1285,321.28
1288,36.07
1295,118.75
1297,377.23
1299,254.28
